symbol
AA
AAPL
ABT
ABX
ADBE
AGNC
AIG
AKAM
ALTR
ALU
AMAT
AMD
AMGN
AMZN
ANR
ARIA
ATML
ATVI
AUY
AXP
BAC
BBD
BBY
BIDU
BK
BMY
BPOP
BRCD
BRCM
BRK.B
BSX
C
CHK
CMCSA
COF
COP
CSCO
CSX
CVS
CVX
CX
DAL
DELL
DIA
DIS
DOW
DTV
DUK
EBAY
ECA
EEM
EFA
EGO
EMC
ERIC
ESRX
ETFC
EWA
EWJ
EWT
EWZ
EXPE
F
FAS
FAZ
FCX
FITB
FLEX
FNFG
FSLR
FTR
FXI
GDX
GE
GEN
GG
GILD
GLD
GLW
GM
HAL
HBAN
HCBK
HD
HPQ
IAG
INTC
ITUB
IWF
IWM
IYR
JNJ
JNPR
JPM
KEY
KGC
LLY
LOW
LRCX
LVS
MET
MGM
MO
MRK
MRO
MRVL
MS
MSFT
MU
MYL
NEM
NLY
NOK
NTAP
NVDA
NWSA
ONNN
ORCL
PBR
PBR.A
PFE
PG
PHM
POT
QCOM
QID
QQQ
RF
S
SBUX
SCHW
SD
SDS
SIRI
SLB
SLV
SNV
SPLS
SPXU
SPY
SSO
STX
SU
SYMC
T
TBT
TEVA
THC
TIBX
TLM
TLT
TNA
TSM
TXN
TZA
UNG
USB
USO
UTX
VALE
VALE.P
VOD
VWO
VXX
VZ
WAG
WFC
WFT
WMB
WMT
X
XLB
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XME
XOM
XOP
XRT
XRX
YHOO
ZNGA
ZSL
